"E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,13874J,CME ,00,138 ,   19159,    3309,   14826,       0,    9975,     950,    1069,    1609,    1565,       0,       0,       0,       0,   15962,   18410,    3197,     749,     843,     938,      -3,       0,    -101,     950,       7,       0,      92,       0,       0,       0,       0,     844,    1046,      -1,    -203,  100.0,   17.3,   77.4,    0.0,   52.1,    5.0,    5.6,    8.4,    8.2,    0.0,    0.0,    0.0,    0.0,   83.3,   96.1,   16.7,    3.9,     28,      5,      8,      0,      8,.,.,.,      4,      0,      0,      0,      0,     15,     14,    46.6,    63.2,    70.3,    82.6,    42.2,    63.2,    64.7,    81.3,"($100 x S&P Select Sector Utilities Index price)","13874J","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,13874U,CME ,00,138 ,  195442,   14868,   10366,       0,   20270,       5,     185,   14418,  150128,    5990,    6229,       0,       0,   61960,  166674,  133482,   28768,   53931,   -3643,    1150,       0,    -911,       0,       1,    4352,   53981,   -1685,    1333,       0,       0,    -553,   53447,   54484,     484,  100.0,    7.6,    5.3,    0.0,   10.4,    0.0,    0.1,    7.4,   76.8,    3.1,    3.2,    0.0,    0.0,   31.7,   85.3,   68.3,   14.7,     22,.,.,      0,      8,.,.,.,      8,      5,.,      0,      0,     17,     12,    19.1,    76.8,    28.0,    85.1,    19.1,    73.9,    26.0,    82.1,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"ADJUSTED INT RATE S&P 500 TOTL - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,13874W,CME ,00,138 ,  215110,   54988,   65492,  104658,       0,       0,       0,   15149,    4342,   38788,       0,       0,       0,  213583,  213280,    1527,    1830,    5346,    -105,    -105,    3950,       0,       0,       0,       0,       0,    1501,       0,       0,       0,    5346,    5346,       0,       0,  100.0,   25.6,   30.4,   48.7,    0.0,    0.0,    0.0,    7.0,    2.0,   18.0,    0.0,    0.0,    0.0,   99.3,   99.1,    0.7,    0.9,     20,      6,      7,      9,      0,      0,      0,.,.,      6,      0,      0,      0,     17,     18,    62.0,    61.8,    85.7,    86.2,    28.4,    27.1,    32.6,    32.3,"(S&P 500 TOTAL RETURN INDEX x $25)","13874W","CME ","138 ","F20","FutOnly"
"NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,20974+,CME ,00,209 ,   45344,    9319,    9598,     188,   14406,    9624,    1620,    9949,   10964,     857,    2558,    4101,      11,   38909,   36964,    6435,    8380,   -2051,   -1248,     372,     -31,      34,    -155,    -271,     241,   -1015,      20,     219,    -678,     -28,   -1063,   -1786,    -988,    -265,  100.0,   20.6,   21.2,    0.4,   31.8,   21.2,    3.6,   21.9,   24.2,    1.9,    5.6,    9.0,    0.0,   85.8,   81.5,   14.2,   18.5,    285,     32,     19,     11,     52,     43,     29,     36,     60,     27,     20,     23,.,    172,    182,    20.9,    26.5,    31.5,    36.0,    20.5,    26.5,    30.8,    35.9,"(NASDAQ 100 INDEX X $100)","20974+","CME ","209 ","F20","FutOnly"
"NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,209742,CME ,00,209 ,  226722,   46593,   47988,     941,   72031,   48121,    8102,   49744,   54819,    4287,   12791,   20506,      57,  194546,  184821,   32176,   41901,  -10255,   -6239,    1862,    -156,     171,    -775,   -1356,    1207,   -5077,     101,    1096,   -3388,    -141,   -5317,   -8930,   -4938,   -1325,  100.0,   20.6,   21.2,    0.4,   31.8,   21.2,    3.6,   21.9,   24.2,    1.9,    5.6,    9.0,    0.0,   85.8,   81.5,   14.2,   18.5,    285,     32,     19,     11,     52,     43,     29,     36,     60,     27,     20,     23,.,    172,    182,    20.9,    26.5,    31.5,    36.0,    20.5,    26.5,    30.8,    35.9,"(NASDAQ 100 STOCK INDEX X $20)","209742","CME ","209 ","F20","FutOnly"
"MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,209747,CME ,00,209 ,   93410,    2842,    1139,       0,     838,     522,       0,   27872,   66146,    2793,    6340,    2628,       0,   40685,   73228,   52725,   20182,   -5234,    1661,     -41,       0,    -393,      49,       0,    9702,   -8877,     557,     184,    1503,     -10,   11701,   -6819,  -16935,    1585,  100.0,    3.0,    1.2,    0.0,    0.9,    0.6,    0.0,   29.8,   70.8,    3.0,    6.8,    2.8,    0.0,   43.6,   78.4,   56.4,   21.6,     38,      5,.,      0,.,.,      0,      7,     12,      6,      7,.,      0,     24,     20,    34.6,    69.2,    38.9,    74.1,    32.5,    68.5,    36.1,    72.2,"(NASDAQ 100 STOCK INDEX x $2)","209747","CME ","209 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,239742,CME ,00,239 ,  494389,  202891,   10618,    2102,  146537,  241879,   53272,   46167,  114449,    5053,   16823,   42852,     146,  472991,  470371,   21398,   24018,    9249,   22956,     -64,    -262,  -26295,   11799,    1298,    4265,    -589,     281,    8115,    -553,   -1754,    8604,   10156,     645,    -907,  100.0,   41.0,    2.1,    0.4,   29.6,   48.9,   10.8,    9.3,   23.1,    1.0,    3.4,    8.7,    0.0,   95.7,   95.1,    4.3,    4.9,    345,     34,     10,      5,     74,     77,     50,     40,     77,     25,     10,     23,      4,    204,    225,    27.3,    23.9,    38.3,    35.3,    27.2,    23.5,    37.4,    32.2,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,239744,CME ,00,239 ,   28398,    6529,   26964,       0,   17186,     423,       0,    2650,     321,       0,       0,       0,       0,   26365,   27708,    2033,     690,    -151,       0,    -290,       0,    -286,       8,       0,    -178,     -25,       0,       0,       0,       0,    -464,    -307,     313,     156,  100.0,   23.0,   95.0,    0.0,   60.5,    1.5,    0.0,    9.3,    1.1,    0.0,    0.0,    0.0,    0.0,   92.8,   97.6,    7.2,    2.4,     26,.,      6,      0,     12,.,      0,      4,.,      0,      0,      0,      0,     18,      8,    56.1,    85.2,    76.0,    97.6,    56.1,    85.2,    76.0,    97.6,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,240743,CME ,00,240 ,   39065,    3939,    3175,     635,   19844,    3957,    2231,    1464,    5406,       0,    5439,    1251,       0,   33552,   16655,    5513,   22410,   -2568,    -424,     842,     226,    1270,     -19,       0,   -4188,    1638,     -12,     565,   -1166,       0,   -2563,    1509,      -5,   -4077,  100.0,   10.1,    8.1,    1.6,   50.8,   10.1,    5.7,    3.7,   13.8,    0.0,   13.9,    3.2,    0.0,   85.9,   42.6,   14.1,   57.4,     53,      8,      7,.,     13,      5,      6,.,     12,      0,.,.,      0,     29,     32,    52.4,    16.5,    63.8,    24.9,    48.2,    14.1,    59.1,    21.3,"(NIKKEI INDEX X JPY 500)","240743","CME ","240 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220503,2022-05-03,244041,ICUS,01,244 ,  411029,   31361,  193842,    3298,  277441,  112247,   54526,   17719,   20378,    2002,   14740,   17807,      25,  401112,  404125,    9917,    6904,  -13278,     688,    2957,     599,  -11828,    2611,   -2545,    2388,   -6726,    -171,    -534,   -4069,      -5,  -11408,   -7349,   -1870,   -5929,  100.0,    7.6,   47.2,    0.8,   67.5,   27.3,   13.3,    4.3,    5.0,    0.5,    3.6,    4.3,    0.0,   97.6,   98.3,    2.4,    1.7,    204,     13,     13,      6,     77,     50,     43,     17,     20,      8,      6,      8,.,    145,    117,    31.4,    28.1,    45.3,    45.8,    28.6,    27.8,    41.3,    45.2,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
